ST.Date.H,A_Win.speed,A_Occurrence,B_ST.Date.H,B_Win.speed,B_Occurrence,C_ST.Date.H,C_Win.speed,C_Occurrence,D_ST.Date.H,D_Win.speed,D_Occurrence
SM4-A.2023-09-06 19:00:00,5.66,0,SM4-B.2023-09-06 19:00:00,6,0,SM4-C.2023-09-06 19:00:00,0.94,0,SM4-D.2023-09-06 19:00:00,5.33,0
SM4-A.2023-09-06 20:00:00,5.49,0,SM4-B.2023-09-06 20:00:00,5.78,0,SM4-C.2023-09-06 20:00:00,1.87,0,SM4-D.2023-09-06 20:00:00,5.02,0
SM4-A.2023-09-06 21:00:00,5.23,0,SM4-B.2023-09-06 21:00:00,5.82,0,SM4-C.2023-09-06 21:00:00,4.95,0,SM4-D.2023-09-06 21:00:00,4.95,0
SM4-A.2023-09-06 22:00:00,4.62,0,SM4-B.2023-09-06 22:00:00,5.28,0,SM4-C.2023-09-06 22:00:00,5.52,0,SM4-D.2023-09-06 22:00:00,5.1,0
SM4-A.2023-09-06 23:00:00,3.43,0,SM4-B.2023-09-06 23:00:00,3.9,0,SM4-C.2023-09-06 23:00:00,5.35,0,SM4-D.2023-09-06 23:00:00,4.86,0
SM4-A.2023-09-07,3.54,0,SM4-B.2023-09-07,3.98,0,SM4-C.2023-09-07,2.35,0,SM4-D.2023-09-07,4.14,0
SM4-A.2023-09-07 01:00:00,1.96,0,SM4-B.2023-09-07 01:00:00,2.8,0,SM4-C.2023-09-07 01:00:00,1.01,0,SM4-D.2023-09-07 01:00:00,2.64,0
SM4-A.2023-09-07 02:00:00,3.61,0,SM4-B.2023-09-07 02:00:00,3.92,0,SM4-C.2023-09-07 02:00:00,0.58,0,SM4-D.2023-09-07 02:00:00,3.38,0
SM4-A.2023-09-07 03:00:00,2.79,0,SM4-B.2023-09-07 03:00:00,2.78,0,SM4-C.2023-09-07 03:00:00,0.85,0,SM4-D.2023-09-07 03:00:00,1.86,0
SM4-A.2023-09-07 04:00:00,2.9,0,SM4-B.2023-09-07 04:00:00,3.76,0,SM4-C.2023-09-07 04:00:00,0.65,0,SM4-D.2023-09-07 04:00:00,3.44,0
SM4-A.2023-09-07 05:00:00,2.73,0,SM4-B.2023-09-07 05:00:00,3.3,0,SM4-C.2023-09-07 05:00:00,0.59,0,SM4-D.2023-09-07 05:00:00,3.37,0
SM4-A.2023-09-07 06:00:00,1.37,0,SM4-B.2023-09-07 06:00:00,1.07,0,SM4-C.2023-09-07 06:00:00,0.74,0,SM4-D.2023-09-07 06:00:00,1.23,0
SM4-A.2023-09-07 07:00:00,0.06,0,SM4-B.2023-09-07 07:00:00,0.75,0,SM4-C.2023-09-07 07:00:00,0.21,0,SM4-D.2023-09-07 07:00:00,2.08,0
SM4-A.2023-09-07 08:00:00,1.95,0,SM4-B.2023-09-07 08:00:00,2.93,0,SM4-C.2023-09-07 08:00:00,2.2,0,SM4-D.2023-09-07 08:00:00,3.95,0
SM4-A.2023-09-07 09:00:00,4.05,0,SM4-B.2023-09-07 09:00:00,5.1,0,SM4-C.2023-09-07 09:00:00,3.27,0,SM4-D.2023-09-07 09:00:00,5.09,0
